line,round,client,train_acc,train_loss,train_avg_loss,train_total,log
2302,3,26,0.529687,442.282059,0.691066,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2306,3,33,0.517188,444.412642,0.694395,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2310,3,11,0.504687,445.462687,0.696035,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2314,3,46,0.526563,443.348051,0.692731,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2318,3,34,0.54375,441.100496,0.68922,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2322,3,14,0.553125,438.513121,0.685177,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2326,3,38,0.60625,433.055902,0.67665,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2330,3,23,0.63125,430.575321,0.672774,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2334,3,21,0.621875,429.808018,0.671575,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2338,3,43,0.65,421.357077,0.65837,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2342,3,18,0.670312,415.637691,0.649434,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2346,3,6,0.69375,401.022875,0.626598,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2350,3,16,0.703125,386.424682,0.603789,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2510,4,43,0.532813,444.632902,0.694739,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2514,4,23,0.545312,440.075729,0.687618,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2518,4,44,0.510938,443.439535,0.692874,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2522,4,2,0.528125,441.71801,0.690184,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2526,4,7,0.471875,446.794294,0.698116,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2530,4,38,0.501563,446.102259,0.697035,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2534,4,27,0.495312,445.932993,0.69677,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2538,4,50,0.509375,446.091333,0.697018,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2542,4,41,0.535937,442.753071,0.691802,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2546,4,26,0.520312,442.296602,0.691088,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2550,4,5,0.532813,442.129097,0.690827,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2554,4,49,0.525,444.979811,0.695281,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2558,4,17,0.551562,443.749895,0.693359,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2562,4,24,0.514062,445.728842,0.696451,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2566,4,22,0.525,443.876627,0.693557,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2570,4,6,0.514062,446.635233,0.697868,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
